year,category,state,pledge_total,pledge_avg,goal_total,goal_avg,count,backers
2009,Art,canceled,3355.29,186.405,159473,8859.611111,18,59
2009,Art,failed,22214.45,419.140566,213228.01,4023.17,53,412
2009,Art,successful,268048.82,4786.586071,229578.8,4099.621429,56,3579
2009,Comics,failed,3169,452.7142857,49750,7107.142857,7,87
2009,Comics,successful,64033.31,7114.812222,44160,4906.666667,9,1536
2009,Crafts,failed,1325,331.25,10200,2550,4,21
2009,Crafts,successful,7409,2469.666667,6725,2241.666667,3,101
2009,Dance,failed,217.12,72.37333333,3800,1266.666667,3,14
2009,Dance,successful,6935.37,3467.685,6500,3250,2,88
2009,Design,canceled,637,127.4,63050,12610,5,16
2009,Design,failed,9658,742.9230769,88040,6772.307692,13,134
2009,Design,successful,10779.35,2155.87,9339,1867.8,5,301
2009,Fashion,canceled,30,15,6000,3000,2,2
2009,Fashion,failed,5005,312.8125,75795,4737.1875,16,90
2009,Fashion,successful,11538.99,3846.33,9500,3166.666667,3,113
2009,Film & Video,canceled,4629,210.4090909,322100,14640.90909,22,53
2009,Film & Video,failed,75797.61,715.0717925,2200275,20757.31132,106,941
2009,Film & Video,successful,372798.3,4659.97875,323118,4038.975,80,4904
2009,Food,canceled,692,138.4,37500,7500,5,16
2009,Food,failed,2500,357.1428571,30050,4292.857143,7,54
2009,Food,successful,26046.55,2604.655,24850,2485,10,361
2009,Games,canceled,4112.04,1370.68,29700,9900,3,93
2009,Games,failed,3514.11,251.0078571,137191,9799.357143,14,78
2009,Games,successful,45038.14,2814.88375,37893,2368.3125,16,945
2009,Journalism,canceled,1728,576,72699,24233,3,20
2009,Journalism,failed,1300,100,52464,4035.692308,13,39
2009,Journalism,successful,39880.99,2848.642143,36230,2587.857143,14,655
2009,Music,canceled,6908.64,383.8133333,109649,6091.611111,18,124
2009,Music,failed,27724.29,374.6525676,855201,11556.77027,74,607
2009,Music,successful,474483.49,4891.582371,368398,3797.917526,97,7756
2009,Photography,canceled,330,47.14285714,40450,5778.571429,7,13
2009,Photography,failed,7592.77,345.1259091,80840.08,3674.549091,22,165
2009,Photography,successful,60660.54,2527.5225,47071,1961.291667,24,903
2009,Publishing,canceled,661,55.08333333,39350,3279.166667,12,19
2009,Publishing,failed,21881.43,561.0623077,203588,5220.205128,39,388
2009,Publishing,successful,143329.91,3873.781351,107967.29,2918.034865,37,3349
2009,Technology,canceled,1384,173,20605,2575.625,8,57
2009,Technology,failed,3404,154.7272727,84331,3833.227273,22,91
2009,Technology,successful,46161.08,3846.756667,35399,2949.916667,12,716
2009,Theater,canceled,1075,215,139300,27860,5,10
2009,Theater,failed,5231,307.7058824,111000.2,6529.423529,17,105
2009,Theater,successful,46367.17,2897.948125,43115,2694.6875,16,518
2010,Art,canceled,25363.33,342.7477027,402345,5437.094595,74,359
2010,Art,failed,194994.58,549.280507,2763798.1,7785.346761,355,3465
2010,Art,successful,1176607.61,3400.600029,1003630.61,2900.666503,346,19020
2010,Comics,canceled,6480,324,105900,5295,20,128
2010,Comics,failed,57055.53,500.4871053,760889,6674.464912,114,1098
2010,Comics,successful,367648.78,3829.674792,262857,2738.09375,96,7822
2010,Crafts,canceled,1073,357.6666667,4800,1600,3,26
2010,Crafts,failed,18049.77,546.9627273,156120,4730.909091,33,249
2010,Crafts,successful,64717.08,3595.393333,53410,2967.222222,18,1046
2010,Dance,canceled,2180,311.4285714,32600,4657.142857,7,25
2010,Dance,failed,16464.01,401.5612195,197192,4809.560976,41,336
2010,Dance,successful,291163.15,3271.496067,258829,2908.191011,89,4462
2010,Design,canceled,2056,228.4444444,66729,7414.333333,9,43
